"OD750","OD680","Observation_Date_Time"
0.76,1.09,"1/23/2015 2:30:00 PM"
0.78,1.13,"1/23/2015 2:30:00 PM"
0.78,1.13,"1/23/2015 2:30:00 PM"
0.86,1.31,"1/23/2015 2:30:00 PM"
"NA","NA","1/23/2015 9:00:00 AM"
"NA","NA","1/23/2015 9:00:00 AM"
"NA","NA","1/23/2015 9:00:00 AM"
"NA","NA","1/23/2015 9:00:00 AM"
"NA","NA","1/23/2015 9:00:00 AM"
"NA","NA","1/23/2015 9:00:00 AM"
0.531,0.731,"1/23/2015 9:00:00 AM"
0.531,0.731,"1/23/2015 9:00:00 AM"
0.566,0.788,"1/23/2015 9:00:00 AM"
0.566,0.788,"1/23/2015 9:00:00 AM"
0.566,0.788,"1/23/2015 9:00:00 AM"
0.722,0.984,"1/23/2015 9:00:00 AM"
0.722,0.984,"1/23/2015 9:00:00 AM"
0.577,0.782,"1/24/2015 10:00:00 AM"
0.597,0.812,"1/24/2015 10:00:00 AM"
0.723,0.978,"1/24/2015 10:00:00 AM"
"NA","NA","1/24/2015 9:00:00 AM"
"NA","NA","1/24/2015 9:00:00 AM"
"NA","NA","1/24/2015 9:00:00 AM"
"NA","NA","1/24/2015 9:00:00 AM"
"NA","NA","1/24/2015 9:00:00 AM"
"NA","NA","1/24/2015 9:00:00 AM"
"NA","NA","1/24/2015 9:00:00 AM"
0.577,0.782,"1/24/2015 9:00:00 AM"
0.577,0.782,"1/24/2015 9:00:00 AM"
0.597,0.812,"1/24/2015 9:00:00 AM"
0.597,0.812,"1/24/2015 9:00:00 AM"
0.597,0.812,"1/24/2015 9:00:00 AM"
0.723,0.978,"1/24/2015 9:00:00 AM"
0.723,0.978,"1/24/2015 9:00:00 AM"
"NA","NA","1/25/2015 9:00:00 AM"
"NA","NA","1/25/2015 9:00:00 AM"
"NA","NA","1/25/2015 9:00:00 AM"
"NA","NA","1/25/2015 9:00:00 AM"
"NA","NA","1/25/2015 9:00:00 AM"
"NA","NA","1/25/2015 9:00:00 AM"
"NA","NA","1/25/2015 9:00:00 AM"
0.672,0.927,"1/26/2015 10:00:00 AM"
0.72,0.993,"1/26/2015 10:00:00 AM"
0.781,1.078,"1/26/2015 10:00:00 AM"
0.11,0.11,"1/26/2015 12:00:00 AM"
0.115,0.115,"1/26/2015 12:00:00 AM"
0.115,0.115,"1/26/2015 12:00:00 AM"
0.798,0.798,"1/26/2015 12:00:00 AM"
0.91,1.33,"1/26/2015 2:30:00 PM"
0.96,1.43,"1/26/2015 2:30:00 PM"
0.98,1.45,"1/26/2015 2:30:00 PM"
0.99,1.6,"1/26/2015 2:30:00 PM"
0.99,1.6,"1/26/2015 2:30:00 PM"
1.02,1.62,"1/26/2015 2:30:00 PM"
1.2,1.89,"1/26/2015 2:30:00 PM"
0.672,0.927,"1/26/2015 9:00:00 AM"
0.672,0.927,"1/26/2015 9:00:00 AM"
0.72,0.993,"1/26/2015 9:00:00 AM"
0.72,0.993,"1/26/2015 9:00:00 AM"
0.72,0.993,"1/26/2015 9:00:00 AM"
0.781,1.078,"1/26/2015 9:00:00 AM"
0.781,1.078,"1/26/2015 9:00:00 AM"
0.98,1.57,"1/26/2015 9:00:00 AM"
0.98,1.57,"1/26/2015 9:00:00 AM"
0.94,1.55,"1/26/2015 9:00:00 AM"
0.89,1.34,"1/26/2015 9:00:00 AM"
0.9,1.38,"1/26/2015 9:00:00 AM"
1.13,1.79,"1/26/2015 9:00:00 AM"
0.84,1.28,"1/26/2015 9:00:00 AM"
0.724,1.012,"1/27/2015 10:00:00 AM"
0.759,1.016,"1/27/2015 10:00:00 AM"
0.776,1.082,"1/27/2015 10:00:00 AM"
0.108,0.108,"1/27/2015 12:00:00 AM"
0.119,0.119,"1/27/2015 12:00:00 AM"
0.119,0.119,"1/27/2015 12:00:00 AM"
1.05,1.05,"1/27/2015 12:00:00 AM"
0.89,1.39,"1/27/2015 2:30:00 PM"
0.9,1.48,"1/27/2015 2:30:00 PM"
0.99,1.6,"1/27/2015 2:30:00 PM"
1.2,2.03,"1/27/2015 2:30:00 PM"
1.21,2.06,"1/27/2015 2:30:00 PM"
1.21,2.06,"1/27/2015 2:30:00 PM"
1.4,2.34,"1/27/2015 2:30:00 PM"
1.12,1.82,"1/27/2015 9:00:00 AM"
1.12,1.82,"1/27/2015 9:00:00 AM"
1.16,1.82,"1/27/2015 9:00:00 AM"
1.36,2.17,"1/27/2015 9:00:00 AM"
0.91,1.39,"1/27/2015 9:00:00 AM"
0.92,1.47,"1/27/2015 9:00:00 AM"
1.01,1.57,"1/27/2015 9:00:00 AM"
0.724,1.012,"1/27/2015 9:00:00 AM"
0.724,1.012,"1/27/2015 9:00:00 AM"
0.759,1.016,"1/27/2015 9:00:00 AM"
0.759,1.016,"1/27/2015 9:00:00 AM"
0.776,1.082,"1/27/2015 9:00:00 AM"
0.776,1.082,"1/27/2015 9:00:00 AM"
0.776,1.082,"1/27/2015 9:00:00 AM"
